course_title,subject_catalog,instructors,year_term,term_type,start_date,end_date,start_time,end_time,weekdays,class_number,course_id,consent,enrolled,waitlist,lecture_sunday,lecture_monday,lecture_tuesday,lecture_wednesday,lecture_thursday,lecture_friday,lecture_saturday,description,notes,school,units,cross_registration,department,course_component,instruction_mode,grading_basis,course_requirements,general_education,quantitative_reasoning,divisional_distribution
Elementary Georgian,GRGN     AR,Mzia Shanava,2026 Spring,Full Term,2026-01-26,2026-04-29,10:30am,11:45am,Mon Wed Fri,12976,220698,No Consent,0,0,False,True,False,True,False,True,False,"Individualized study of the Georgian language at the Elementary level. Conducted as a tutorial. A two semester introductory course in modern Georgian language and culture, designed for students without previous knowledge who would like to speak Georgian or use the language for reading and research. All four major communicative skills (speaking, listening comprehension, reading, writing) are stressed. Students are exposed to Georgian culture through work with film, journalism, and literature as they learn to use the language both as a means of communication and as a tool for reading and research.Georgian Ar over two semesters satisfies the foreign language requirement and prepares students for continued study of Georgian in intermediate-level courses and for study or travel abroad in Georgia.","This tutorial will be offered MWF with 75 min class meetings. The department will make an effort to schedule the tutorial based on the availability of interested students. Please contact the Director of the Slavic Language Program (Steven Clancy ) with any questions. For information on meetings during the first week of classes, please see https://slavic.fas.harvard.edu/language-courses.  Students are strongly encouraged to enroll in Georgian Ar in the fall and in the spring within the same academic year. - - - See language course notes on the Slavic Department website for information about sectioning, pass/fail, satisfactory/unsatisfactory, and auditing: https://slavic.fas.harvard.edu/language-course-notes.  Departmental languages in the tutorial program are offered when there is demonstrated curricular or academic need on the part of the student. Please contact the Director of the Slavic Language Program, Steven Clancy (sclancy@fas.harvard.edu), with any questions. Interested students should consult with the Georgian course instructor and prepare a coherent plan for the course based on the information provided in the “Note on independent language tutorials (“R” Courses)” found at: https://slavic.fas.harvard.edu/pages/language-study.",Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Slavic Languages & Literatures,Tutorial,N/A,FAS Letter Graded,N/A,N/A,N/A,None
Science in Popular Culture,HISTSCI 1955,Erik Baker,2026 Spring,Full Term,2026-01-26,2026-04-29,10:30am,11:45am,Mon Wed,12896,220651,No Consent,0,0,False,True,False,True,False,False,False,"Very few people are scientists, but almost everyone knows something about science –– about what “the science says” about the world, who scientists are, and the role of science as an institution in society. In this course, we’ll think together about where these beliefs come from and why they matter, with a focus on the twentieth-century United States. Topics include the history of science education, including recurrent debates about teaching evolution; the popular science publishing industry and celebrity popularizers like Bill Nye; the “mad scientist,” the “troubled genius,” and other tropes in film and literature; and the history of “pseudoscience.”",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,History of Science,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Social Sciences
Shi’a Islam and Politics in the Middle East,MODMDEST  102,Mohammad Sagha,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,14583,220696,No Consent,0,0,False,False,False,False,False,False,False,"From the rise of the Axis of Resistance and U.S.-Iran rivalry in the region, to the war in Yemen between the Shi'a Ansarallah (Houthis) and Saudi Arabia, and the battle over the future of Iraq, Syria, and Lebanon, the rise of Shi’a political actors has been one of the most significant developments in the recent history of the Middle East. While Shi’a Islam is a minority sect within the larger Islamic World, Shi’a Muslims are estimated to comprise some 35-40% of the population of the Middle East. The rise of Hezbollah in Lebanon, the Houthis in Yemen, the Popular Mobilization Forces (PMF) in Iraq, and the world’s only theocracy in Iran all represent major changes in the politics, society, and trajectory of the region linked to Shi’a Islamic revival and mass movements that include both political parties and armed wings. This course addresses the role of Shi’a Islam in the contemporary Middle East especially after the 1979 Islamic Revolution of Iran through to the 2003 Iraq War, the Iran-Saudi rivalry, fluctuation of sectarian identities, civil conflict, proliferation of non-state actors and Shi’a militias, and the current geopolitical competition over the security architecture of the Middle East. The course further focuses on the foundations and varieties of modern Shi'a political thought and theology; the history of religious clerical institutions (the system of Grand Ayatollahs); Shi'a political parties and paramilitaries in Iraq, Syria, Lebanon, and Yemen; and Iran's Islamic Revolution, the Islamic Revolutionary Guards (IRGC), and the Basij paramilitary organization. The course assumes no prior knowledge of Islam or the Middle East.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Near Eastern Languages & Civ,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Arts and Humanities
"Design, Technology, and Social Impact",COMPSCI 2760,Krzysztof Gajos,2026 Spring,Full Term,2026-01-26,2026-04-29,9:45am,11:00am,Tue Thu,15659,220127,Instructor,0,0,False,False,True,False,True,False,False,"The course explores major areas of research and practice at the intersection of design, technology, and social impact. Specifically, we will explore the current state of research and interesting real-world examples related to the design, evaluation, and implementation of interventions comprising of technical, social, and organizational elements. We will also explore leading theories and methods for anticipating broader, indirect societal impacts of such intervention. Course activities will involve discussion of primary literature, some guided instruction, assignments, and a major research project.","Designed for Computer Science PhD students. Open to masters students, advanced undergraduates, and students from other areas with permission of instructor. This course was previously numbered CS 276.",Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Computer Science,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Science & Engineering & Applied Science
Afro-Indigenous Intersections in Early America,HIST   63,Tiya Miles,2026 Spring,Full Term,2026-01-26,2026-04-29,1:30pm,2:45pm,Tue Thu,15693,220135,No Consent,0,0,False,False,True,False,True,False,False,"In ways both charged and complex, Native Americans and African Americans together contributed the ground/work of the U.S. nation and the European colonies that preceded it. This course traces intertwined historical lines among Indigenous peoples and African-descended people within the borders of the present-day United States. We will discuss multiple regions, tribal nations, Black communities, and “mixed-race” families across the seventeenth, eighteenth, and nineteenth centuries as well as contemporary memories, representations, and political dilemmas stemming from histories of colonization, enslavement, environmental degradation, and resistance. We will explore contacts, conflicts, relationships, collaborations, meanings of this multifaceted history to communities now, and historical aspects of Afro-futuristic and Indigenous-futuristic imaginings. Our readings will include primary documents, historical studies, cultural studies, memoirs, and novels.","This course meets the ""North America"" History Concentration requirement. Former course number ""Hist 1014.""",Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,History,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Social Sciences
Active Matter,APMTH  230,L Mahadevan,2026 Spring,Full Term,2026-01-26,2026-04-29,3:00pm,5:45pm,Fri,12861,220128,Instructor,0,0,False,False,False,False,False,True,False,"Active matter describes out of equilibrium systems that consume energy to do work and become functional. Understanding their behavior and function has implications for biology and complex systems across scales, from cells to ecosystems, e.g., morphogenesis, collective behavior of flocks and herds, neurodynamics of locomotion, etc. The tools and concepts needed include non-equilibrium statistical mechanics, kinetic theory, soft matter, and hydrodynamics; methods for the analysis of the models include scaling, coarse-graining (homogenization, renormalization) and computational algorithms (for stochastic and deterministic DE). This course will provide an introduction to the questions, techniques and successes of this exploding field that cuts across the physical and biological sciences.",Open to PhD students and [AB/SM students or advanced undergraduate students] by permission of instructor. Applied Math 230 is also offered as Physics 230. Students may not take both for credit.,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Applied Mathematics,Lecture,N/A,FAS Letter Graded,PHDs Only,N/A,N/A,Science & Engineering & Applied Science
StudioLab on Creativity and Entrepreneurship,CE   11,,2026 Spring,Full Term,2026-01-26,2026-04-29,9:00am,11:45am,Wed,14201,220705,Instructor,0/30,0,False,False,False,True,False,False,False,"CE 11 is a 4-credit StudioLab designed for students with ventures and enterprises in the early stages of development with the goal of preparing to launch the venture/enterprise. The target student will have conceived and prototyped a solution to an intractable problem in an effort to create a “better normal” with social impact.  Using an interdisciplinary exploration of the liberal arts, you will develop and apply transformative ideas to tackle today’s societal challenges such as racial injustice, climate change, and strained health and well-being. You will work to execute your actionable solutions to pressing issues. You will learn to properly analyze your identified problem; work to collaboratively ideate and create an actionable plan of execution; build a scaling strategy and marketing plan; network with experts for fundraising advice; and persuasively communicate your venture to build the requisite human capital and funding relationships to launch your venture. This class will take advantage of activity-based learning, guest lecturers and speakers, and an active council of expert mentors to guide you through the launch of your venture. The term will culminate in a FounderCrush event where students will showcase their work and connect with others to move their projects along.  This class counts towards your ""Electives"" graduation requirements. To enroll in the class, you must submit an application. Please visit the Canvas homepage for the application link and details. The classroom location can be found in the course syllabus, also available on the Canvas homepage.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,The Lemann Prog on Creativity,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,None
Climate Responsibility and Climate Action,ESPP   90P,Peter Frumhoff,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,17235,220481,Instructor,0,0,False,False,False,False,False,False,False,"Who bears responsibility for climate change? Confronting this question is central to establishing equitable policies to reduce greenhouse gas emissions and limit the adverse impacts of now unavoidable climate disruption.  International climate policy frameworks focus on the “common but differentiated responsibilities” of nations. But climate responsibilities also extend to non-state actors, including individuals, utilities and fossil-fuel companies at the base of the carbon supply chain whose responsibilities are increasingly the focus of attention by civil society, policymakers and the courts. This course examines the nature of climate responsibility from ethical, historical, scientific and policy perspectives and the efficacy of approaches to accelerate responsible climate action by both state and non-state actors.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Envi Science & Public Policy,Seminar,N/A,FAS Letter Graded,N/A,N/A,N/A,Social Sciences
Early Stage Research and Discussions on the Economics of Health Equity,ECON 2925,"David Cutler, Marcella Alsan",2026 Spring,Full Term,2026-01-26,2026-04-29,1:30pm,2:45pm,Wed,12882,220488,No Consent,0,0,False,False,False,True,False,False,False,"This is a reading group for students to discuss recent advances in the economics of health equity. Topics will include equity in all dimensions: race/ethnicity; gender orientation; disability status; and others. Students will read papers, present, and discuss them. Interested students should talk to Professor Alsan or Professor Cutler.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Economics,Reading and Research,N/A,FAS Letter Graded,N/A,N/A,N/A,Social Sciences
The Poet and the Archive: Susan Howe,HDS 3077,Amy Hollywood,2026 Spring,Full Term,2026-01-26,2026-04-29,3:00pm,4:59pm,Mon,10023,220663,Instructor,0/15,0,False,True,False,False,False,False,False,"Susan Howe's poetry--especially Singularities (1990), The Nonconformist's Memorial (1993), Pierce-Arrow (1999), The Midnight (2003), Souls of the Labadie Tract (2007), That This (2011), debths (2017), and Concordance (2020)--and her prose, My Emily Dickinson (1985), The Birth Mark: Unsettling the Wilderness in American Literary History (1993), and Spontaneous Particulars: The Telepathies of the Archive (2014)-- are deeply immersed in archives, particularly, but by no means only, those of American history. Through her work she brings that history alive in all of its violence, contradiction, pain, and pleasure, seeking to make the unknown, repressed, forgotten, or erased visible, legible even as illegible, somehow even potentially livable. Her poetry--and her criticism, as I often find it hard to distinguish, fully, between the two--is a refuge and a refusal, performing a contradictory doubling without which we can't survive, without which we probably don't deserve to (thrive). The course will be an exploration of Howe's project, with crucial attention to the work Howe reads, to reading and rereading Howe's work, and to thinking about the archive itself and its relationship to possible futures.This is a limited enrollment course. Interested students should attend the first course meeting. If there are more students than can be accommodated, a selection procedure will be described at the first meeting. Selected students will then be invited to enroll in the course. Jointly offered in the Faculty of Arts and Sciences as Religion 2491",,Harvard Divinity School,4,Available for BTI Cross Registration,Divinity School,Seminar,In Person,HDS Letter Graded,N/A,,,
